Thème,Artiste,Titre,Lien YouTube (démarre à l'extrait joué),On garde,Commentaire / Remplacer par
Années 80,a-ha,Take On Me,https://www.youtube.com/watch?v=djV11Xbc914&t=51s,TRUE,
Années 80,a-ha,The Sun Always Shines on T.V.,https://www.youtube.com/watch?v=a3ir9HC9vYg&t=95s,TRUE,
Années 80,a-ha,Crying in the Rain,https://www.youtube.com/watch?v=h-WPexVEujg&t=48s,TRUE,
Années 80,Alphaville,Forever Young,https://www.youtube.com/watch?v=oNjQXmoxiQ8&t=65s,TRUE,
Années 80,Alphaville,Big In Japan,https://www.youtube.com/watch?v=tl6u2NASUzU&t=34s,TRUE,
Années 80,Alphaville,Sounds Like A Melody,https://www.youtube.com/watch?v=sUz2DK-ucWc&t=27s,TRUE,
Années 80,Billy Idol,Rebel Yell,https://www.youtube.com/watch?v=VdphvuyaV_I&t=26s,TRUE,
Années 80,Billy Idol,White Wedding,https://www.youtube.com/watch?v=AAZQaYKZMTI&t=68s,TRUE,
Années 80,Billy Idol,Dancing With Myself,https://www.youtube.com/watch?v=FG1NrQYXjLU&t=52s,TRUE,
Années 80,Blondie,Heart Of Glass,https://www.youtube.com/watch?v=WGU_4-5RaxU&t=23s,TRUE,
Années 80,Blondie,Call Me,https://www.youtube.com/watch?v=StKVS0eI85I&t=25s,TRUE,
Années 80,Blondie,The Tide Is High,https://www.youtube.com/watch?v=fAb8Q9X2xAc&t=21s,TRUE,
Années 80,Bon Jovi,Livin' On A Prayer,https://www.youtube.com/watch?v=lDK9QqIzhwk&t=68s,TRUE,
Années 80,Bon Jovi,You Give Love A Bad Name,https://www.youtube.com/watch?v=KrZHPOeOxQQ&t=10s,TRUE,
Années 80,Bon Jovi,Wanted Dead Or Alive,https://www.youtube.com/watch?v=SRvCvsRp5ho&t=75s,TRUE,
Années 80,Bonnie Tyler,Total Eclipse of the Heart,https://www.youtube.com/watch?v=lcOxhH8N3Bo&t=40s,TRUE,
Années 80,Bonnie Tyler,Holding Out For A Hero,https://www.youtube.com/watch?v=bWcASV2sey0&t=60s,TRUE,
Années 80,Bonnie Tyler,It's A Heartache,https://www.youtube.com/watch?v=bEOl38y8Nj8&t=18s,TRUE,
Années 80,Bruce Springsteen,Dancing In the Dark,https://www.youtube.com/watch?v=129kuDCQtHs&t=15s,TRUE,
Années 80,Bruce Springsteen,Born in the U.S.A.,https://www.youtube.com/watch?v=EPhWR4d3FJQ&t=28s,TRUE,
Années 80,Bruce Springsteen,I'm On Fire,https://www.youtube.com/watch?v=lrpXArn3hII&t=14s,TRUE,
Années 80,Bryan Adams,Summer Of 69,https://www.youtube.com/watch?v=9f06QZCVUHg&t=18s,TRUE,
Années 80,Bryan Adams,Heaven,https://www.youtube.com/watch?v=3eT464L1YRA&t=74s,TRUE,
Années 80,Bryan Adams,Run To You,https://www.youtube.com/watch?v=nCBASt507WA&t=30s,TRUE,
Années 80,Culture Club,Karma Chameleon,https://www.youtube.com/watch?v=JmcA9LIIXWw&t=48s,TRUE,
Années 80,Culture Club,Do You Really Want To Hurt Me,https://www.youtube.com/watch?v=2nXGPZaTKik&t=58s,TRUE,
Années 80,Culture Club,Time (Clock Of The Heart),https://www.youtube.com/watch?v=8tI1_KlO6xI&t=20s,TRUE,
Années 80,Cyndi Lauper,Girls Just Want To Have Fun,https://www.youtube.com/watch?v=PIb6AZdTr-A&t=44s,TRUE,
Années 80,Cyndi Lauper,Time After Time,https://www.youtube.com/watch?v=VdQY7BusJNU&t=64s,TRUE,
Années 80,Cyndi Lauper,True Colors,https://www.youtube.com/watch?v=LPn0KFlbqX8&t=70s,TRUE,
Années 80,David Bowie,Let's Dance,https://www.youtube.com/watch?v=VbD_kBJc_gI&t=40s,TRUE,
Années 80,David Bowie,Modern Love,https://www.youtube.com/watch?v=HivQqTtiHVw&t=22s,TRUE,
Années 80,David Bowie,China Girl,https://www.youtube.com/watch?v=_YC3sTbAPcU&t=32s,TRUE,
Années 80,Depeche Mode,Enjoy the Silence,https://www.youtube.com/watch?v=aGSKrC7dGcY&t=78s,TRUE,
Années 80,Depeche Mode,Personal Jesus,https://www.youtube.com/watch?v=u1xrNaTO1bI&t=50s,TRUE,
Années 80,Depeche Mode,Just Can't Get Enough,https://www.youtube.com/watch?v=_6FBfAQ-NDE&t=16s,TRUE,
Années 80,Dire Straits,Money For Nothing,https://www.youtube.com/watch?v=wTP2RUD_cL0&t=45s,TRUE,
Années 80,Dire Straits,Walk Of Life,https://www.youtube.com/watch?v=kd9TlGDZGkI&t=12s,TRUE,
Années 80,Dire Straits,Brothers In Arms,https://www.youtube.com/watch?v=jhdFe3evXpk&t=55s,TRUE,
Années 80,Duran Duran,Hungry like the Wolf,https://www.youtube.com/watch?v=oJL-lCzEXgI&t=47s,TRUE,
Années 80,Duran Duran,Rio,https://www.youtube.com/watch?v=nTizYn3-QN0&t=63s,TRUE,
Années 80,Duran Duran,The Reflex,https://www.youtube.com/watch?v=J5ebkj9x5Ko&t=70s,TRUE,
Années 80,"Earth, Wind & Fire",September,https://www.youtube.com/watch?v=Gs069dndIYk&t=14s,TRUE,
Années 80,"Earth, Wind & Fire",Let's Groove,https://www.youtube.com/watch?v=Lrle0x_DHBM&t=18s,TRUE,
Années 80,"Earth, Wind & Fire",Boogie Wonderland,https://www.youtube.com/watch?v=god7hAPv8f0&t=64s,TRUE,
Années 80,Europe,The Final Countdown,https://www.youtube.com/watch?v=9jK-NcRmVcw&t=12s,TRUE,
Années 80,Europe,Carrie,https://www.youtube.com/watch?v=KmWE9UBFwtY&t=58s,TRUE,
Années 80,Europe,Rock The Night,https://www.youtube.com/watch?v=ELtpTBf-pMU&t=52s,TRUE,
Années 80,Eurythmics,Sweet Dreams (Are Made Of This),https://www.youtube.com/watch?v=qeMFqkcPYcg&t=15s,TRUE,
Années 80,Eurythmics,Here Comes The Rain Again,https://www.youtube.com/watch?v=TzFnYcIqj6I&t=28s,TRUE,
Années 80,Eurythmics,There Must Be An Angel,https://www.youtube.com/watch?v=RCdneDxFRYQ&t=55s,TRUE,
Années 80,George Michael,Careless Whisper,https://www.youtube.com/watch?v=izGwDsrQ1eQ&t=12s,TRUE,
Années 80,George Michael,Faith,https://www.youtube.com/watch?v=6Cs3Pvmmv0E&t=28s,TRUE,
Années 80,George Michael,Freedom! '90,https://www.youtube.com/watch?v=diYAc7gB-0A&t=92s,TRUE,
Années 80,INXS,Never Tear Us Apart,https://www.youtube.com/watch?v=AIBv2GEnXlc&t=28s,TRUE,
Années 80,INXS,Need You Tonight,https://www.youtube.com/watch?v=w-rv2BQa2OU&t=20s,TRUE,
Années 80,INXS,New Sensation,https://www.youtube.com/watch?v=azfG5H-pCVg&t=18s,TRUE,
Années 80,Journey,Don't Stop Believin',https://www.youtube.com/watch?v=1k8craCGpgs&t=22s,TRUE,
Années 80,Journey,Separate Ways (Worlds Apart),https://www.youtube.com/watch?v=LatorN4P9aA&t=30s,TRUE,
Années 80,Journey,Any Way You Want It,https://www.youtube.com/watch?v=atxUuldUcfI&t=10s,TRUE,
Années 80,Kool & The Gang,Celebration,https://www.youtube.com/watch?v=3GwjfUFyY6M&t=30s,TRUE,
Années 80,Kool & The Gang,Get Down On It,https://www.youtube.com/watch?v=qchPLaiKocI&t=24s,TRUE,
Années 80,Kool & The Gang,Fresh,https://www.youtube.com/watch?v=sTJ1XwGDcA4&t=28s,TRUE,
Années 80,Lionel Richie,Hello,https://www.youtube.com/watch?v=mHONNcZbwDY&t=56s,TRUE,
